Name, Longitude, Latitude, M_plot
249,-0.8597993,51.1534181,0
250,-0.8597126,51.1534532,0
251,-0.8596259,51.1534884,0
252,-0.8595536,51.1535236,0
253,-0.8594669,51.1535587,0
254,-0.8593803,51.1535939,0
255,-0.8593079,51.1536291,0
256,-0.8592212,51.1536643,0
257,-0.8591346,51.1536994,0
258,-0.8590622,51.1537346,0
259,-0.8589753,51.1537788,0
260,-0.8589030,51.1538140,0
261,-0.8588163,51.1538491,0
262,-0.8587297,51.1538843,0
263,-0.8586573,51.1539195,0
264,-0.8585706,51.1539547,0
265,-0.8584840,51.1539898,0
266,-0.8584116,51.1540250,0
267,-0.8583250,51.1540602,0
268,-0.8582383,51.1540953,0
269,-0.8581659,51.1541306,0
270,-0.8580793,51.1541657,0
271,-0.8579926,51.1542008,0
272,-0.8579202,51.1542361,0
273,-0.8578336,51.1542712,0
274,-0.8577612,51.1543065,0
275,-0.8576746,51.1543416,0
276,-0.8575879,51.1543767,0
277,-0.8575155,51.1544120,0
278,-0.8574289,51.1544471,0
279,-0.8573422,51.1544822,0
280,-0.8572699,51.1545175,0
281,-0.8571832,51.1545526,1
282,-0.8570974,51.1545518,0
283,-0.8570116,51.1545509,0
284,-0.8569114,51.1545589,0
285,-0.8568256,51.1545581,0
286,-0.8567398,51.1545573,0
287,-0.8566540,51.1545564,0
288,-0.8565680,51.1545646,0
289,-0.8564823,51.1545637,0
290,-0.8563822,51.1545628,0
291,-0.8562964,51.1545619,0
292,-0.8562104,51.1545701,0
293,-0.8561247,51.1545692,0
294,-0.8560389,51.1545684,0
295,-0.8559531,51.1545675,0
296,-0.8558530,51.1545666,0
297,-0.8557670,51.1545747,0
298,-0.8556813,51.1545739,0
299,-0.8555955,51.1545730,0
300,-0.8555097,51.1545722,0
301,-0.8554237,51.1545804,0
302,-0.8553237,51.1545794,0
303,-0.8552379,51.1545785,0
304,-0.8551521,51.1545777,0
305,-0.8550661,51.1545858,0
306,-0.8549804,51.1545850,0
307,-0.8548946,51.1545842,0
308,-0.8547945,51.1545832,0
309,-0.8547085,51.1545913,0
310,-0.8546227,51.1545905,0
311,-0.8545370,51.1545897,1
312,-0.8544505,51.1546158,0
313,-0.8543784,51.1546421,0
314,-0.8542919,51.1546682,0
315,-0.8542198,51.1546945,0
316,-0.8541334,51.1547206,0
317,-0.8540469,51.1547467,0
318,-0.8539748,51.1547730,0
319,-0.8538883,51.1547991,0
320,-0.8538019,51.1548253,0
321,-0.8537297,51.1548515,0
322,-0.8536433,51.1548777,0
323,-0.8535712,51.1549039,0
324,-0.8534847,51.1549301,1
325,-0.8562172,51.1566114,1
326,-0.8562898,51.1565671,0
327,-0.8563766,51.1565230,0
328,-0.8564492,51.1564788,0
329,-0.8565361,51.1564347,0
330,-0.8566087,51.1563904,0
331,-0.8566956,51.1563463,0
332,-0.8567682,51.1563021,0
333,-0.8568408,51.1562578,0
334,-0.8569277,51.1562137,0
335,-0.8570003,51.1561694,0
336,-0.8570871,51.1561253,0
337,-0.8571597,51.1560811,0
338,-0.8572466,51.1560370,0
339,-0.8573192,51.1559927,1
340,-0.8574057,51.1559666,0
341,-0.8574921,51.1559404,0
342,-0.8575785,51.1559143,0
343,-0.8576505,51.1558970,0
344,-0.8577369,51.1558709,0
345,-0.8578233,51.1558448,0
346,-0.8579098,51.1558186,0
347,-0.8579962,51.1557925,0
348,-0.8580827,51.1557664,0
349,-0.8581689,51.1557492,0
350,-0.8582553,51.1557231,0
351,-0.8583275,51.1556968,0
352,-0.8584139,51.1556707,0
353,-0.8585003,51.1556445,0
354,-0.8585868,51.1556184,0
355,-0.8586730,51.1556013,0
356,-0.8587594,51.1555751,0
357,-0.8588459,51.1555490,0
