date,par
2015-08-07 09:30:00,3.2295200824737549
2015-08-07 09:30:05,0.321399986743927
2015-08-07 09:30:10,1.023360013961792
2015-08-07 09:30:15,2.5275599956512451
2015-08-07 09:30:20,8.0429601669311523
2015-08-07 09:30:25,13.55836009979248
2015-08-07 09:30:30,65.001998901367188
2015-08-07 09:30:35,95.186279296875
2015-08-07 09:30:40,208.00128173828125
2015-08-07 09:30:45,225.65055847167969
2015-08-07 09:30:50,211.81192016601562
2015-08-07 09:30:55,152.64671325683594
2015-08-07 09:31:00,184.83659362792969
2015-08-07 09:31:05,197.47187805175781
2015-08-07 09:31:10,199.47747802734375
2015-08-07 09:31:15,221.03767395019531
2015-08-07 09:31:20,230.56428527832031
2015-08-07 09:31:25,166.38508605957031
